date,buying,selling,mean,rate_change,rate_change_pct,MA_7,MA_30,MA_90,volatility_7d,day_of_week,month,year,spread
01/01/2024,350.3907,353.7551,352.0729,,,,,,,0,1,2024,3.3644
02/01/2024,350.3907,353.7551,352.0729,0,0,,,,,1,1,2024,3.3644
03/01/2024,349.0512,352.443,350.7471,-1.3258,-0.376569739,,,,,2,1,2024,3.3918
04/01/2024,348.5327,351.9687,350.2507,-0.4964,-0.141526473,,,,,3,1,2024,3.436
05/01/2024,348.4205,351.8605,350.1405,-0.1102,-0.031463178,,,,,4,1,2024,3.44
06/01/2024,348.3866,351.8016,350.0941,-0.0464,-0.013251823,,,,,5,1,2024,3.415
07/01/2024,348.3866,351.8016,350.0941,0,0,350.7817571,,,0.910519813,6,1,2024,3.415
08/01/2024,348.3866,351.8016,350.0941,0,0,350.4990714,,,0.732657486,0,1,2024,3.415
09/01/2024,347.9371,351.3969,349.667,-0.4271,-0.121995772,350.1553714,,,0.318648347,1,1,2024,3.4598
10/01/2024,347.8351,351.2841,349.5596,-0.1074,-0.030714937,349.9857286,,,0.262224654,2,1,2024,3.449
11/01/2024,348.0574,351.4988,349.7781,0.2185,0.062507223,349.9182143,,,0.242749229,3,1,2024,3.4414
12/01/2024,348.1821,351.6049,349.8935,0.1154,0.032992346,349.8829286,,,0.222128872,4,1,2024,3.4228
13/01/2024,348.1821,351.6049,349.8935,0,0,349.8542714,,,0.202409311,5,1,2024,3.4228
14/01/2024,348.1821,351.6049,349.8935,0,0,349.8256143,,,0.175161682,6,1,2024,3.4228
15/01/2024,348.1821,351.6049,349.8935,0,0,349.7969571,,,0.135931942,0,1,2024,3.4228
16/01/2024,347.1102,350.4836,348.7969,-1.0966,-0.313409652,349.6726571,,,0.40536752,1,1,2024,3.3734
17/01/2024,347.0566,350.493,348.7748,-0.0221,-0.006336065,349.5605429,,,0.530929248,2,1,2024,3.4364
18/01/2024,347.0384,350.46,348.7492,-0.0256,-0.00733998,349.4135571,,,0.598752553,3,1,2024,3.4216
19/01/2024,347.0866,350.4892,348.7879,0.0387,0.0110968,349.2556143,,,0.59686791,4,1,2024,3.4026
20/01/2024,347.9012,351.2826,349.5919,0.804,0.230512584,349.2125286,,,0.552374127,5,1,2024,3.3814
21/01/2024,347.9012,351.2826,349.5919,0,0,349.1694429,,,0.499651378,6,1,2024,3.3814
22/01/2024,347.9012,351.2826,349.5919,0,0,349.1263571,,,0.435722702,0,1,2024,3.3814
23/01/2024,347.6837,351.1361,349.4099,-0.182,-0.052060703,349.2139286,,,0.41978147,1,1,2024,3.4524
24/01/2024,348.5078,351.9388,350.2233,0.8134,0.232792488,349.4208571,,,0.513737877,2,1,2024,3.431
25/01/2024,349.1048,352.4974,350.8011,0.5778,0.164980457,349.7139857,,,0.637186021,3,1,2024,3.3926
26/01/2024,348.4814,351.9074,350.1944,-0.6067,-0.172947006,349.9149143,,,0.504412736,4,1,2024,3.426
27/01/2024,348.6332,352.0214,350.3273,0.1329,0.03795035,350.0199714,,,0.502503395,5,1,2024,3.3882
