date,buying,selling,mean,rate_change,rate_change_pct,MA_7,MA_30,MA_90,volatility_7d,day_of_week,month,year,spread
01/01/2024,2751.0917,2779.6081,2765.3499,,,,,,,0,1,2024,28.5164
02/01/2024,2751.0917,2779.6081,2765.3499,0,0,,,,,1,1,2024,28.5164
03/01/2024,2731.6121,2759.9353,2745.7737,-19.5762,-0.707910417,,,,,2,1,2024,28.3232
04/01/2024,2719.8786,2748.084,2733.9813,-11.7924,-0.429474578,,,,,3,1,2024,28.2054
05/01/2024,2728.5986,2756.8912,2742.7449,8.7636,0.320543524,,,,,4,1,2024,28.2926
06/01/2024,2720.1045,2748.3123,2734.2084,-8.5365,-0.311239299,,,,,5,1,2024,28.2078
07/01/2024,2720.1045,2748.3123,2734.2084,0,0,2745.945214,,,14.03564479,6,1,2024,28.2078
08/01/2024,2720.1045,2748.3123,2734.2084,0,0,2741.496429,,,11.58062369,0,1,2024,28.2078
09/01/2024,2725.7063,2753.9701,2739.8382,5.6298,0.205902374,2737.8519,,,4.923558555,1,1,2024,28.2638
10/01/2024,2724.2111,2752.4599,2738.3355,-1.5027,-0.054846304,2736.7893,,,3.536092369,2,1,2024,28.2488
11/01/2024,2730.0832,2758.392,2744.2376,5.9021,0.215536044,2738.254486,,,4.234552713,3,1,2024,28.3088
12/01/2024,2737.7012,2765.33,2751.5156,7.278,0.265210272,2739.507443,,,6.484502558,4,1,2024,27.6288
13/01/2024,2737.7012,2765.33,2751.5156,0,0,2741.9799,,,7.3667871,5,1,2024,27.6288
14/01/2024,2737.7012,2765.33,2751.5156,0,0,2744.452357,,,7.226794644,6,1,2024,27.6288
15/01/2024,2737.7012,2765.33,2751.5156,0,0,2746.924814,,,5.993312891,0,1,2024,27.6288
16/01/2024,2726.6584,2754.931,2740.7947,-10.7209,-0.38963617,2747.061457,,,5.81300692,1,1,2024,28.2726
17/01/2024,2715.6227,2743.2829,2729.4528,-11.3419,-0.413817934,2745.7925,,,8.420184176,2,1,2024,27.6602
18/01/2024,2713.7977,2741.9443,2727.871,-1.5818,-0.057953008,2743.454414,,,10.84660426,3,1,2024,28.1466
19/01/2024,2714.5468,2742.7008,2728.6238,0.7528,0.027596613,2740.184157,,,11.44548875,4,1,2024,28.154
