date,buying,selling,mean,rate_change,rate_change_pct,MA_7,MA_30,MA_90,volatility_7d,day_of_week,month,year,spread
01/01/2024,2489,2513.89,2501.445,,,,,,,0,1,2024,24.89
02/01/2024,2489,2513.89,2501.445,0,0,,,,,1,1,2024,24.89
03/01/2024,2492.5742,2517.5,2505.0371,3.5921,0.143600999,,,,,2,1,2024,24.9258
04/01/2024,2491.4158,2516.33,2503.8729,-1.1642,-0.046474362,,,,,3,1,2024,24.9142
05/01/2024,2491.4158,2516.33,2503.8729,0,0,,,,,4,1,2024,24.9142
06/01/2024,2492.0792,2517,2504.5396,0.6667,0.026626751,,,,,5,1,2024,24.9208
07/01/2024,2492.0792,2517,2504.5396,0,0,2503.536014,,,1.485445632,6,1,2024,24.9208
08/01/2024,2492.0792,2517,2504.5396,0,0,2503.9781,,,1.190662102,0,1,2024,24.9208
09/01/2024,2491.9604,2516.88,2504.4202,-0.1194,-0.004767343,2504.403129,,,0.412385183,1,1,2024,24.9196
10/01/2024,2491.9604,2516.88,2504.4202,0,0,2504.315,,,0.306695935,2,1,2024,24.9196
11/01/2024,2495.0496,2520,2507.5248,3.1046,0.12396482,2504.8367,,,1.208755681,3,1,2024,24.9504
12/01/2024,2492.2178,2517.14,2504.6789,-2.8459,-0.113494391,2504.951843,,,1.137960679,4,1,2024,24.9222
13/01/2024,2492.2178,2517.14,2504.6789,0,0,2504.971743,,,1.130745226,5,1,2024,24.9222
14/01/2024,2492.2178,2517.14,2504.6789,0,0,2504.991643,,,1.123072127,6,1,2024,24.9222
15/01/2024,2492.2178,2517.14,2504.6789,0,0,2505.011543,,,1.114931933,0,1,2024,24.9222
16/01/2024,2490.099,2515,2502.5495,-2.1294,-0.085016886,2504.7443,,,1.453184821,1,1,2024,24.901
17/01/2024,2495.0594,2520.01,2507.5347,4.9852,0.199204851,2505.189229,,,1.777921917,2,1,2024,24.9506
18/01/2024,2496.594,2521.56,2509.077,1.5423,0.061506626,2505.410971,,,2.171087346,3,1,2024,24.966
19/01/2024,2496.594,2521.56,2509.077,0,0,2506.039271,,,2.530554361,4,1,2024,24.966
20/01/2024,2501.5842,2526.6,2514.0921,5.0151,0.199878282,2507.384014,,,3.84623921,5,1,2024,25.0158
21/01/2024,2501.5842,2526.6,2514.0921,0,0,2508.728757,,,4.354763169,6,1,2024,25.0158
22/01/2024,2501.5842,2526.6,2514.0921,0,0,2510.0735,,,4.349129105,0,1,2024,25.0158
23/01/2024,2501.5842,2526.6,2514.0921,0,0,2511.722443,,,2.999861829,1,1,2024,25.0158
24/01/2024,2499.01,2524,2511.505,-2.5871,-0.102903947,2512.289629,,,2.389324161,2,1,2024,24.99
25/01/2024,2498.0198,2523,2510.5099,-0.9951,-0.039621661,2512.494329,,,2.11369962,3,1,2024,24.9802
26/01/2024,2498.0198,2523,2510.5099,0,0,2512.699029,,,1.768844446,4,1,2024,24.9802
27/01/2024,2500.99,2526,2513.495,2.9851,0.118904132,2512.613729,,,1.703665359,5,1,2024,25.01
28/01/2024,2500.99,2526,2513.495,0,0,2512.528429,,,1.630694052,6,1,2024,25.01
29/01/2024,2500.99,2526,2513.495,0,0,2512.443129,,,1.548829553,0,1,2024,25.01
30/01/2024,2504.7524,2529.8,2517.2762,3.7812,0.150435947,2512.898,2507.975503,,2.365880895,1,1,2024,25.0476
31/01/2024,2504.7524,2529.8,2517.2762,0,0,2513.722457,2508.50321,,2.770512397,2,1,2024,25.0476
01/02/2024,2503.9604,2529,2516.4802,-0.796,-0.03162148,2514.575357,2509.004383,,2.52477679,3,2,2024,25.0396
02/02/2024,2503.9604,2529,2516.4802,0,0,2515.428257,2509.38582,,1.837362362,4,2,2024,25.0396
03/02/2024,2504.9504,2530,2517.4752,0.995,0.039539353,2515.996857,2509.83923,,1.753318418,5,2,2024,25.0496
04/02/2024,2504.9504,2530,2517.4752,0,0,2516.565457,2510.29264,,1.420552685,6,2,2024,25.0496
05/02/2024,2504.9504,2530,2517.4752,0,0,2517.134057,2510.723827,,0.45544902,0,2,2024,25.0496
06/02/2024,2504.9504,2530,2517.4752,0,0,2517.162486,2511.155013,,0.471720155,1,2,2024,25.0496
07/02/2024,2504.9504,2530,2517.4752,0,0,2517.190914,2511.5862,,0.485510286,2,2,2024,25.0496
08/02/2024,2504.9504,2530,2517.4752,0,0,2517.333057,2512.021367,,0.376074651,3,2,2024,25.0496
09/02/2024,2504.9504,2530,2517.4752,0,0,2517.4752,2512.456533,,0,4,2,2024,25.0496
10/02/2024,2504.9504,2530,2517.4752,0,0,2517.4752,2512.788213,,0,5,2,2024,25.0496
11/02/2024,2504.9504,2530,2517.4752,0,0,2517.4752,2513.214757,,0,6,2,2024,25.0496
12/02/2024,2504.9504,2530,2517.4752,0,0,2517.4752,2513.6413,,0,0,2,2024,25.0496
13/02/2024,2504.9504,2530,2517.4752,0,0,2517.4752,2514.067843,,0,1,2,2024,25.0496
14/02/2024,2513.198,2538.33,2525.764,8.2888,0.329250513,2518.659314,2514.77068,,3.132871924,2,2,2024,25.132
15/02/2024,2513.198,2538.33,2525.764,0,0,2519.843429,2515.544497,,4.044520262,3,2,2024,25.132
16/02/2024,2514.8514,2540,2527.4257,1.6617,0.065789995,2521.264929,2516.20753,,4.75896632,4,2,2024,25.1486
17/02/2024,2514.8514,2540,2527.4257,0,0,2522.686429,2516.819153,,4.921635717,5,2,2024,25.1486
18/02/2024,2514.8514,2540,2527.4257,0,0,2524.107929,2517.430777,,4.591552815,6,2,2024,25.1486
19/02/2024,2514.8514,2540,2527.4257,0,0,2525.529429,2517.87523,,3.636940718,0,2,2024,25.1486
20/02/2024,2514.8514,2540,2527.4257,0,0,2526.950929,2518.319683,,0.810826576,1,2,2024,25.1486
21/02/2024,2514.8514,2540,2527.4257,0,0,2527.188314,2518.764137,,0.628063565,2,2,2024,25.1486
22/02/2024,2521.4158,2546.63,2534.0229,6.5972,0.261024488,2528.368157,2519.428497,,2.493507221,3,2,2024,25.2142
23/02/2024,2525.0694,2550.32,2537.6947,3.6718,0.144900032,2529.835157,2520.301487,,4.249255283,4,2,2024,25.2506
24/02/2024,2524.2376,2549.48,2536.8588,-0.8359,-0.032939345,2531.182743,2521.179783,,4.815793241,5,2,2024,25.2424
25/02/2024,2524.2376,2549.48,2536.8588,0,0,2532.530329,2522.05808,,4.908182455,6,2,2024,25.2424
26/02/2024,2524.2376,2549.48,2536.8588,0,0,2533.877914,2522.836873,,4.555364079,0,2,2024,25.2424
27/02/2024,2530.4356,2555.74,2543.0878,6.229,0.245539878,2536.115357,2523.8233,,4.702054928,1,2,2024,25.3044
28/02/2024,2525.7524,2551.01,2538.3812,-4.7066,-0.185074224,2537.680429,2524.65284,,2.7426777,2,2,2024,25.2576
29/02/2024,2530.5842,2555.89,2543.2371,4.8559,0.191299085,2538.996743,2525.518203,,2.901263657,3,2,2024,25.3058
01/03/2024,2531.4752,2556.79,2544.1326,0.8955,0.035211031,2539.916443,2526.413417,,3.397664914,4,3,2024,25.3148
02/03/2024,2525.8812,2551.14,2538.5106,-5.622,-0.220979048,2540.152414,2527.147763,,3.201619327,5,3,2024,25.2588
03/03/2024,2525.8812,2551.14,2538.5106,0,0,2540.388386,2527.88211,,2.970972887,6,3,2024,25.2588
04/03/2024,2525.8812,2551.14,2538.5106,0,0,2540.624357,2528.58329,,2.696862549,0,3,2024,25.2588
05/03/2024,2527.8416,2553.12,2540.4808,1.9702,0.077612439,2540.251929,2529.350143,,2.470477089,1,3,2024,25.2784
06/03/2024,2526.9504,2552.22,2539.5852,-0.8956,-0.035253169,2540.423929,2530.087143,,2.357871777,2,3,2024,25.2696
07/03/2024,2526.703,2551.97,2539.3365,-0.2487,-0.009792938,2539.8667,2530.815853,,2.018761895,3,3,2024,25.267
08/03/2024,2526.8514,2552.12,2539.4857,0.1492,0.005875551,2539.202857,2531.549537,,0.743285988,4,3,2024,25.2686
09/03/2024,2527.9702,2553.25,2540.6101,1.1244,0.044276682,2539.502786,2532.3207,,0.835290052,5,3,2024,25.2798
10/03/2024,2527.9702,2553.25,2540.6101,0,0,2539.802714,2533.091863,,0.79564117,6,3,2024,25.2798
11/03/2024,2527.9702,2553.25,2540.6101,0,0,2540.102643,2533.863027,,0.59873221,0,3,2024,25.2798
12/03/2024,2529.0792,2554.37,2541.7246,1.1145,0.043867416,2540.280329,2534.67134,,0.858061596,1,3,2024,25.2908
13/03/2024,2526.208,2551.47,2538.839,-2.8856,-0.113529216,2540.173729,2535.383467,,0.994342129,2,3,2024,25.262
14/03/2024,2529.2772,2554.57,2541.9236,3.0846,0.121496479,2540.543314,2536.198413,,1.10583609,3,3,2024,25.2928
15/03/2024,2530.7326,2556.04,2543.3863,1.4627,0.057543036,2541.100543,2536.785823,,1.421720482,4,3,2024,25.3074
16/03/2024,2531.5742,2556.89,2544.2321,0.8458,0.033254878,2541.617971,2537.401427,,1.817494816,5,3,2024,25.3158
17/03/2024,2531.5742,2556.89,2544.2321,0,0,2542.1354,2537.96164,,1.990119825,6,3,2024,25.3158
18/03/2024,2531.5742,2556.89,2544.2321,0,0,2542.652829,2538.521853,,1.998288686,0,3,2024,25.3158
19/03/2024,2530.802,2556.11,2543.456,-0.7761,-0.030504292,2542.900171,2539.056197,,1.971216742,1,3,2024,25.308
20/03/2024,2536.4752,2561.84,2549.1576,5.7016,0.224167432,2544.374257,2539.780593,,2.264434101,2,3,2024,25.3648
21/03/2024,2538.0594,2563.44,2550.7497,1.5921,0.062455927,2545.635129,2540.55806,,3.007710775,3,3,2024,25.3806
22/03/2024,2540.1882,2565.59,2552.8891,2.1394,0.08387338,2546.992671,2541.40684,,3.850115971,4,3,2024,25.4018
23/03/2024,2541.1486,2566.56,2553.8543,0.9652,0.037808145,2548.367271,2542.067887,,4.381302581,5,3,2024,25.4114
24/03/2024,2541.1486,2566.56,2553.8543,0,0,2549.741871,2542.60654,,4.377138288,6,3,2024,25.4114
25/03/2024,2541.1486,2566.56,2553.8543,0,0,2551.116471,2543.173057,,3.835879929,0,3,2024,25.4114
26/03/2024,2542.307,2567.73,2555.0185,1.1642,0.045585999,2552.768257,2543.77838,,2.070751921,1,3,2024,25.423
27/03/2024,2540.8218,2566.23,2553.5259,-1.4926,-0.058418364,2553.3923,2544.33395,,1.325346018,2,3,2024,25.4082
28/03/2024,2544.2178,2569.66,2556.9389,3.413,0.133658327,2554.276471,2544.795653,,1.333040096,3,3,2024,25.4422
29/03/2024,2547.5544,2573.03,2560.2922,3.3533,0.131145097,2555.334057,2545.52602,,2.486522114,4,3,2024,25.4756
30/03/2024,2547.5544,2573.03,2560.2922,0,0,2556.253757,2546.094523,2526.52941,2.988012609,5,3,2024,25.4756
31/03/2024,2547.5544,2573.03,2560.2922,0,0,2557.173457,2546.633177,2527.183268,3.114482451,6,3,2024,25.4756
01/04/2024,2547.5544,2573.03,2560.2922,0,0,2558.093157,2547.35923,2527.837126,2.915156424,0,4,2024,25.4756
02/04/2024,2547.5544,2573.03,2560.2922,0,0,2558.846543,2548.085283,2528.451071,2.658256463,1,4,2024,25.4756
03/04/2024,2552.0892,2577.61,2564.8496,4.5574,0.17800312,2560.464214,2548.96325,2529.12859,2.302440489,2,4,2024,25.5208
04/04/2024,2551.9406,2577.46,2564.7003,-0.1493,-0.005821004,2561.572986,2549.770567,2529.80445,2.187782593,3,4,2024,25.5194
